model,intervention,target_mae,target_mse,all_mae,all_mse,mpd_target_mean,mpd_target_std,rmsd_target,mpd_all_mean,rmsd_all,input_mpd_mean,normalized_target_sensitivity,csr_cause_shift_over_distractor_shift,target_zero_over_cause_shift,num_batches,num_test_windows,num_target_points
iTransformer,cause_last_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.056460687181768145,0.05485440787577254,0.07871985302602574,0.06819159061924714,0.32552599026505097,0.00248015873015873,22.76494906251009,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,cause_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,2.1796075061732807e-06,6.71137848509031e-06,7.056436072912445e-06,0.23809589464972478,1.0910894371967985,0.23809523809523808,9.15435152588933e-06,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,cause_zero,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.05618050626152352,0.055965307044541224,0.07929921107041897,0.05204422447784034,0.21413685704252886,0.040683636520125736,1.3809116162059591,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,cause_flip,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.053260979022462435,0.053315342746680434,0.07536084964109145,0.10445255800341038,0.4224633640223989,0.08136727304025147,0.6545749541767272,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,cause_flip_x5,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.053261106179037954,0.053315435986841915,0.07536100547286902,0.2667819736033972,1.2633309564328765,0.24410181403512712,0.2181921768559872,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,distractors_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,5.830328759581685e-06,1.1440692697200371e-05,1.284064573285079e-05,4.523810191043828,4.755948895584209,4.523809523809524,1.2888095152756666e-06,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,noncause_1to7_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,3.4352801764613687e-06,8.790109709510303e-06,9.437540918905504e-06,1.666668660232575,2.8867515094350886,1.6666666666666667,2.0611681058755844e-06,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,target_zero,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,0.8406438018184739,0.49582561016351884,0.9759738916742822,0.05186441309704451,0.21447094944043466,0.04069754494799478,20.655884841998006,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer,target_shift_plus_delta,0.19086812403988443,0.06081177794088529,0.3720442100092306,0.3244419317376995,5.000000256315617,0.0007159826588243979,5.0000003075787305,0.23809589922678936,1.0910895182991436,0.23809523809523808,21.000001076437393,0.37383949039782327,385685.6859557705,30,1905,182880
iTransformer_FT_PREDONLY,cause_last_shift_plus_delta,0.22417446813975522,0.08255443239253754,0.36349775736040807,0.2658731475907634,0.07768688251965941,0.07431543722815057,0.10750830631181271,0.07158568641749372,0.3368555313797998,0.00248015873015873,31.3233510192971,0.35293451926389896,311408.3976580945,30,1905,182880
iTransformer_FT_PREDONLY,cause_shift_plus_delta,0.22417446813975522,0.08255443239253754,0.36349775736040807,0.2658731475907634,2.704992017905087e-06,8.124726471351444e-06,8.563186442628067e-06,0.2380959892423929,1.0910894362645878,0.23809523809523808,1.1360966475153649e-05,0.35293451926389896,311408.3976580945,30,1905,182880
iTransformer_FT_PREDONLY,cause_zero,0.22417446813975522,0.08255443239253754,0.36349775736040807,0.2658731475907634,0.08082046608912351,0.07609710006470878,0.11100773115923712,0.05319927202703178,0.21466046111145032,0.040683636520125736,1.986559535973535,0.35293451926389896,311408.3976580945,30,1905,182880
iTransformer_FT_PREDONLY,cause_flip,0.22417446813975522,0.08255443239253754,0.36349775736040807,0.2658731475907634,0.07965782996550633,0.07403053896627777,0.10874691064325041,0.10552411417322835,0.42192074616555886,0.08136727304025147,0.9789910241322884,0.35293451926389896,311408.3976580945,30,1905,182880
iTransformer_FT_PREDONLY,cause_flip_x5,0.22417446813975522,0.08255443239253754,0.36349775736040807,0.2658731475907634,0.07965767510815451,0.0740303863577608,0.10874669331945516,0.26724744479775314,1.2612986922321938,0.24410181403512712,0.3263297137823202,0.35293451926389896,311408.3976580945,30,1905,182880
